protein,before_file,after_file,trs_score,degree_change,clustering_change,coordination_number,adjacency_change,triangle_change,path_length_change,lambda2_change,spectrum_change,laplacian_change,betweenness_change,diameter_change,edge_distance_change,geometry_angle_penalty,metal_betweenness
1BUG,data\copper\before binding\1BUG_apo.cif,data\copper\after binding\1bug.cif,94.08786100399648,0.8721804511278195,0.0410448459000567,6.0,16.0,48.0,0.06197311460469379,0.03417564506866777,0.0,22.891046284519195,0.004881423893915142,0.0,0.1825592388821173,0.0,0.0
1GQG,data\copper\before binding\1GQG_apo.cif,data\copper\after binding\1gqg.cif,57.94044544128607,1.0921052631578947,0.05901485809828648,3.0,11.575836902790225,23.0,0.011929824561403457,0.0038129411612644604,0.0,18.920887928424502,0.011519963589713198,0.0,0.2653377595027784,0.0,0.0
1M57,data\copper\before binding\1M57_apo.cif,data\copper\after binding\1m57.cif,98.3449579661223,1.0340909090909092,0.043002189153367266,3.0,11.224972160321824,65.0,0.07183908045977017,0.07920205074822606,0.0,17.72004514666935,0.00706753756470411,0.0,0.1647388921141375,0.0,0.0
1OCC,data\copper\before binding\1OCC_apo.cif,data\copper\after binding\1occ.cif,95.24108847047914,0.7236842105263158,0.03287718982174742,3.0,8.831760866327848,68.0,0.05999999999999961,0.16864775498711904,0.0,13.341664064126334,0.0035890844344137144,1.0,0.07886530025535893,0.0,0.0
2Y9X,data\copper\before binding\2Y9X_apo.cif,data\copper\after binding\2y9x.cif,105.68209762848878,1.5,0.09272179840361659,0.0,9.273618495495704,37.0,3.7167019027484116,3.587991920716277e-15,35.667188213642795,17.4928556845359,0.0029548568871762483,0.0,0.9360566767751846,0.0,0.0
3E12,data\copper\before binding\3E12_apo.cif,data\copper\after binding\3e12.cif,397.8543550389621,1.8476190476190477,0.05440143216433044,4.0,16.852299546352718,337.0,0.17582417582417564,0.06044367617915536,0.0,36.55133376499413,0.010360658047336133,1.0,0.302072737781238,0.0,0.0
3QJQ,data\copper\before binding\3QJQ_apo.cif,data\copper\after binding\3qjq.cif,12.653586895257474,0.14285714285714285,0.023809523809523805,0.0,1.4142135623730951,5.0,0.01098901098901095,0.0,3.9999999999999822,2.0,0.0009157509157509158,0.0,0.06080190431296715,0.0,0.0
3SBP,data\copper\before binding\3SBP_apo.cif,data\copper\after binding\3sbp.cif,183.61398376557813,1.165991902834008,0.04627364520329664,12.0,23.366642891095847,95.0,0.003094039037563334,2.5489748546239383e-14,15.26419723662828,36.578682316343766,0.0014526506926351075,0.0,0.18764908374267875,0.0,0.0
3SBR,data\copper\before binding\3SBR_apo.cif,data\copper\after binding\3sbr.cif,273.2127508629684,1.3025830258302582,0.049783954385622615,13.0,24.939927826679853,163.0,0.05494054940550086,1.925185033468333e-14,29.005133319008472,41.66533331199932,0.0017795891720109383,0.0,0.1932692864873088,0.0,0.0
4P6T,data\copper\before binding\4P6T_apo.cif,data\copper\after binding\4p6t.cif,72.71258654560845,0.8865979381443299,0.09667783533762912,0.0,11.313708498984761,25.0,0.15871993127147732,9.696834046970475e-15,16.506545059775032,17.72004514666935,0.002422905539973057,0.0,1.0278692298858971,0.0,0.0
5ZHW,data\copper\before binding\5ZHW_apo.cif,data\copper\after binding\5zhw.cif,74.3686953672533,0.6666666666666666,0.05386537330981774,0.0,6.48074069840786,42.0,0.010482180293500676,1.3322676295501878e-15,14.535006853477894,10.392304845413264,0.0008343721656090627,0.0,0.22879437751868184,0.0,0.0
6EI4,data\copper\before binding\6EI4_apo.cif,data\copper\after binding\6ei4.cif,117.42548399099451,0.9484536082474226,0.10036836016217458,0.0,10.770329614269007,45.0,7.663445017182127,3.5635572628189136e-15,33.33122822856095,18.76166303929372,0.0027319814634413618,0.0,0.8472641418156688,0.0,0.0
6JU9,data\copper\before binding\6JU9_apo.cif,data\copper\after binding\6ju9.cif,53.545347186742404,1.5,0.10880952380952383,1.0,4.242640687119285,36.0,0.15555555555555567,2.376865030909083,0.0,7.745966692414834,0.02664021164021164,0.0,0.3888694852939126,0.0,0.0
9F8X,data\copper\before binding\9F8X_apo.cif,data\copper\after binding\9f8x.cif,32.21648409903456,0.5135135135135135,0.04277134277134278,1.0,4.898979485566356,14.0,0.001501501501500968,9.199795419932627e-16,4.375277062610408,7.211102550927978,0.0006867071152785437,0.0,0.17265193502818682,0.0,0.0
